ID,ProbePoint,Condition,Burst1Panning,Burst1FreqContent,Burst2Panning,Burst2FreqContent,azi,ele,channel,up_ch,down_ch,catch_ele_diff,FirstBurstPresented,MovementDir,BlockNum,Burst1_cue_idx,Burst2_cue_idx,Response,ReactionTime
X,R6,4,nearest,wide,ambi,wide,-69.09,0,14,53,91,93.78,1,0,BN,7,11,down,0.8652410507202148
X,L6,1,nearest,low,nearest,low,69.09,0,4,45,88,93.78,2,0,BN,18,3,up,1.4081082344055176
X,L6,4,nearest,wide,ambi,wide,69.09,0,4,45,88,93.78,2,0,BN,12,10,up,0.9037196636199951
X,R4,1,nearest,low,nearest,low,-31.72,0,15,54,86,93.99,1,0,BN,5,18,down,0.780639648
X,L4,2,nearest,wide,nearest,wide,31.72,0,3,44,78,93.99,2,0,BN,14,1,down,0.652843714
X,C,2,nearest,wide,nearest,wide,0,0.03,1,23,76,61.02,2,0,BN,13,2,up,0.9466683864593506
X,C,2,nearest,wide,nearest,wide,0,0.03,1,23,76,61.02,1,0,BN,8,19,up,0.7082781791687012
X,R8,3,nearest,low,ambi,low,-90,0.03,13,52,85,78.86,1,0,BN,6,15,down,0.8196473121643066
X,L8,4,nearest,wide,ambi,wide,90,0.46,5,46,79,79.63,1,0,BN,8,18,down,0.8661024570465088
X,C,3,nearest,low,ambi,low,0,0.03,1,23,76,61.02,2,0,BN,20,8,up,0.6988315582275391
X,C,3,nearest,low,ambi,low,0,0.03,1,23,76,61.02,1,0,BN,10,19,down,0.681016207
X,L4,4,nearest,wide,ambi,wide,31.72,0,3,44,78,93.99,2,0,BN,13,4,up,0.7291302680969238
X,L6,catch,nearest,low,nearest,low,69.09,0,4,45,88,93.78,2,up,BN,16,1,up,0.8063580989837646
X,L8,2,nearest,wide,nearest,wide,90,0.46,5,46,79,79.63,2,0,BN,14,7,down,0.987985373
X,L4,3,nearest,low,ambi,low,31.72,0,3,44,78,93.99,1,0,BN,1,20,down,0.8377697467803955
X,L6,3,nearest,low,ambi,low,69.09,0,4,45,88,93.78,2,0,BN,15,5,down,0.6193430423736572
X,L6,2,nearest,wide,nearest,wide,69.09,0,4,45,88,93.78,2,0,BN,19,10,down,0.6820533275604248
X,R6,3,nearest,low,ambi,low,-69.09,0,14,53,91,93.78,1,0,BN,6,11,down,0.8426458835601807
X,L8,3,nearest,low,ambi,low,90,0.46,5,46,79,79.63,1,0,BN,6,17,down,0.7768001556396484
X,L6,4,nearest,wide,ambi,wide,69.09,0,4,45,88,93.78,1,0,BN,5,15,down,0.6672394275665283
